gene,NB01,NB02,NB03,NB04,NB05,NB06,NB07,NB08,ALL01,ALL02,ALL03,ALL04
MYCN,12.4,11.8,12.1,6.2,5.8,6.0,5.5,5.9,4.1,3.8,4.0,3.9
PHOX2B,9.8,10.1,9.5,8.9,8.7,9.0,8.4,8.8,2.1,2.0,2.3,1.9
TH,8.2,8.0,8.5,7.1,6.9,7.0,6.8,7.2,1.5,1.4,1.6,1.3
ALK,7.4,6.9,7.1,5.2,5.0,5.1,4.8,5.3,3.2,3.0,3.1,2.9
TERT,6.1,5.8,6.4,4.2,4.0,4.1,3.9,4.3,5.5,5.7,5.4,5.6
ATRX,4.0,4.2,3.9,5.8,6.1,5.9,6.0,5.7,4.8,4.7,4.9,4.6
PAX5,1.2,1.1,1.3,1.4,1.2,1.3,1.1,1.2,8.9,9.1,8.7,9.0
EBF1,1.0,0.9,1.1,1.2,1.0,1.1,0.8,1.0,7.8,8.0,7.6,7.9
CD19,0.8,0.7,0.9,0.8,0.7,0.9,0.6,0.8,9.4,9.6,9.2,9.5
IKZF1,1.5,1.4,1.6,1.5,1.3,1.4,1.2,1.5,7.1,7.3,6.9,7.0
PCNA,6.6,6.4,6.8,5.9,5.7,5.8,5.5,6.0,6.9,7.1,6.8,7.0
MKI67,5.2,5.0,5.5,4.4,4.1,4.3,4.0,4.5,5.8,6.0,5.6,5.9
